Quarter,Series,Measure,Inflation adjustment,Seasonality adjustment,Industry,Industry Code,Value,Value Unit,Value Label,Null Reason,Metadata 1
1995 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6198.2,nzd,NZD millions (current prices),
1995 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7282.1,nzd,NZD millions (current prices),
1996 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6466.3,nzd,NZD millions (current prices),
1996 Q2,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6489.7,nzd,NZD millions (current prices),
1996 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6435.3,nzd,NZD millions (current prices),
1996 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7576.7,nzd,NZD millions (current prices),
1997 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6568.7,nzd,NZD millions (current prices),
1997 Q2,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6649.3,nzd,NZD millions (current prices),
1997 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6607.8,nzd,NZD millions (current prices),
1997 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7754,nzd,NZD millions (current prices),
1998 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6737.3,nzd,NZD millions (current prices),
1998 Q2,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6663.4,nzd,NZD millions (current prices),
1998 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",6579.7,nzd,NZD millions (current prices),
1998 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7910.8,nzd,NZD millions (current prices),
1999 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7062.7,nzd,NZD millions (current prices),
1999 Q2,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7088.4,nzd,NZD millions (current prices),
1999 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7159.7,nzd,NZD millions (current prices),
1999 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",8499,nzd,NZD millions (current prices),
2000 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7457.1,nzd,NZD millions (current prices),
2000 Q2,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7361.7,nzd,NZD millions (current prices),
2000 Q3,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7461.4,nzd,NZD millions (current prices),
2000 Q4,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",8959.9,nzd,NZD millions (current prices),
2001 Q1,"Sales and stocks by industry, in current and constant prices (SAFC)",Sales (operating income),Current,Actual,"Core retail trade, accommodation and food services","G41,G42,G43,H44,H45",7858.6,nzd,NZD millions (current prices),
